game_id,season,week,game_date,home_team,away_team,halftime_home_score,halftime_away_score,final_home_score,final_away_score,pregame_spread,pregame_total,trailing_team_home,trailing_team,halftime_deficit,trailing_team_was_favorite,trailing_team_favorite_by,trailing_team_won
2025_12_JAX_ARI,2025,12,2025-11-23,ARI,JAX,14.0,10.0,24,27,-2.5,47.5,False,JAX,4,True,2.5,1
2025_12_MIN_GB,2025,12,2025-11-23,GB,MIN,10.0,6.0,23,6,6.5,41.5,False,MIN,4,False,0.0,0
2025_12_NE_CIN,2025,12,2025-11-23,CIN,NE,13.0,17.0,20,26,-7.5,50.5,True,CIN,4,False,0.0,0
2025_12_NYG_DET,2025,12,2025-11-23,DET,NYG,17.0,20.0,34,27,14.0,50.5,True,DET,3,True,14.0,1
2025_12_NYJ_BAL,2025,12,2025-11-23,BAL,NYJ,3.0,7.0,23,10,14.0,44.5,True,BAL,4,True,14.0,1
2025_12_PHI_DAL,2025,12,2025-11-23,DAL,PHI,7.0,21.0,24,21,-3.0,47.5,True,DAL,14,False,0.0,1
2025_12_PIT_CHI,2025,12,2025-11-23,CHI,PIT,17.0,21.0,31,28,3.0,46.5,True,CHI,4,True,3.0,1
2025_12_SEA_TEN,2025,12,2025-11-23,TEN,SEA,3.0,16.0,24,30,-12.5,41.5,True,TEN,13,False,0.0,0
2025_12_TB_LA,2025,12,2025-11-23,LA,TB,31.0,7.0,34,7,7.0,49.5,False,TB,24,False,0.0,0
2025_13_ARI_TB,2025,13,2025-11-30,TB,ARI,10.0,3.0,20,17,4.5,44.5,False,ARI,7,False,0.0,0
2025_13_BUF_PIT,2025,13,2025-11-30,PIT,BUF,7.0,3.0,7,26,-3.0,44.5,False,BUF,4,True,3.0,1
2025_13_CHI_PHI,2025,13,2025-11-28,PHI,CHI,3.0,10.0,15,24,7.0,43.5,True,PHI,7,True,7.0,0
2025_13_CIN_BAL,2025,13,2025-11-27,BAL,CIN,7.0,12.0,14,32,7.0,52.5,True,BAL,5,True,7.0,0
2025_13_DEN_WAS,2025,13,2025-11-30,WAS,DEN,7.0,13.0,26,27,-6.5,43.5,True,WAS,6,False,0.0,0
2025_13_GB_DET,2025,13,2025-11-27,DET,GB,14.0,17.0,24,31,2.5,48.5,True,DET,3,True,2.5,0
